Code;Company;Link;"""Market Cap""";"""Last trade""";Change;%Change;Sector;ZW1;ZW2;Ticker JSE;Ticker;Ticker Yahoo
JSE:AEG;"""Aveng Group Limited (JSE:AEG)""";https://www.listcorp.com/jse/aeg/aveng-group-limited;"""	784423000""";6,09;-0,08;-1,3;Industrials;"(JSE:AEG)""";(JSE:AEG;JSE:AEG;AEG;AEG.JO
JSE:AVI;"""AVI Limited (JSE:AVI)""";https://www.listcorp.com/jse/avi/avi-limited;"""	31095600000""";91,68;0,24;0,26;"""Consumer Goods""";"(JSE:AVI)""";(JSE:AVI;JSE:AVI;AVI;AVI.JO
JSE:AYO;"""AYO Tech Solutions (JSE:AYO)""";https://www.listcorp.com/jse/ayo/ayo-tech-solutions;"""	156923000""";0,48;0;0;Technology;"(JSE:AYO)""";(JSE:AYO;JSE:AYO;AYO;AYO.JO
JSE:BWN;"""Balwin Properties Limited (JSE:BWN)""";https://www.listcorp.com/jse/bwn/balwin-properties-limited;"""	1314110000""";2,53;0;0;Financials;"(JSE:BWN)""";(JSE:BWN;JSE:BWN;BWN;BWN.JO
JSE:BAW;"""Barloworld Limited (JSE:BAW)""";https://www.listcorp.com/jse/baw/barloworld-limited;"""	20807500000""";110;0,29;0,26;Industrials;"(JSE:BAW)""";(JSE:BAW;JSE:BAW;BAW;BAW.JO
JSE:BEL;"""Bell Equipment Limited (JSE:BEL)""";https://www.listcorp.com/jse/bel/bell-equipment-limited;"""	4014520000""";40,48;-1,5;-3,57;Industrials;"(JSE:BEL)""";(JSE:BEL;JSE:BEL;BEL;BEL.JO
JSE:BHG;"""BHP Group Limited (JSE:BHG)""";https://www.listcorp.com/jse/bhg/bhp-group-limited;"""	2145420000000""";424,12;1,48;0,35;"""Basic Materials""";"(JSE:BHG)""";(JSE:BHG;JSE:BHG;BHG;BHG.JO
JSE:BID;"""Bid Corporation Limited (JSE:BID)""";https://www.listcorp.com/jse/bid/bidcorp;"""	153227000000""";457,01;2,18;0,48;"""Consumer Services""";"(JSE:BID)""";(JSE:BID;JSE:BID;BID;BID.JO
JSE:BVT;"""Bidvest Group (JSE:BVT)""";https://www.listcorp.com/jse/bvt/bidvest-group;"""	78239300000""";232,13;2,21;0,96;Industrials;"(JSE:BVT)""";(JSE:BVT;JSE:BVT;BVT;BVT.JO
JSE:BLU;"""Blue Label Telecoms (JSE:BLU)""";https://www.listcorp.com/jse/blu/blue-label-telecoms;"""	11968900000""";13,49;0,39;2,98;Telecommunications;"(JSE:BLU)""";(JSE:BLU;JSE:BLU;BLU;BLU.JO
JSE:BCF;"""Bowler Metcalf Limited (JSE:BCF)""";https://www.listcorp.com/jse/bcf/bowler-metcalf-limited;"""	970399000""";12,99;0;0;Industrials;"(JSE:BCF)""";(JSE:BCF;JSE:BCF;BCF;BCF.JO
JSE:BOX;"""Boxer Retail Limited (JSE:BOX)""";https://www.listcorp.com/jse/box/boxer-retail-limited;"""	30138600000""";66,03;0,14;0,21;"""Consumer Services""";"(JSE:BOX)""";(JSE:BOX;JSE:BOX;BOX;BOX.JO
JSE:BAT;"""Brait PLC (JSE:BAT)""";https://www.listcorp.com/jse/bat/brait-plc;"""	8497910000""";2,18;-0,02;-0,91;Financials;"(JSE:BAT)""";(JSE:BAT;JSE:BAT;BAT;BAT.JO
JSE:BIK;"""Brikor Limited (JSE:BIK)""";https://www.listcorp.com/jse/bik/brikor-limited;"""	142501000""";0,17;0;0;Industrials;"(JSE:BIK)""";(JSE:BIK;JSE:BIK;BIK;BIK.JO
JSE:BRN;"""Brimstone Investment Corporation - N Shares (JSE:BRN)""";https://www.listcorp.com/jse/brn/brimstone-investment-corporation-n;"""	989894000""";4,4;0;0;Financials;"(JSE:BRN)""";(JSE:BRN;JSE:BRN;BRN;BRN.JO
JSE:BRT;"""Brimstone Investment Corporation (JSE:BRT)""";https://www.listcorp.com/jse/brt/brimstone-investment-corporation;"""	163484000""";4,1;0;0;Financials;"(JSE:BRT)""";(JSE:BRT;JSE:BRT;BRT;BRT.JO
JSE:BTI;"""British American Tobacco (JSE:BTI)""";https://www.listcorp.com/jse/bti/british-american-tobacco;"""	2088630000000""";892,85;1,34;0,15;"""Consumer Goods""";"(JSE:BTI)""";(JSE:BTI;JSE:BTI;BTI;BTI.JO
JSE:BYI;"""Bytes Technology Group (JSE:BYI)""";https://www.listcorp.com/jse/byi/bytes-technology-group;"""	30065900000""";124,27;-0,39;-0,31;Technology;"(JSE:BYI)""";(JSE:BYI;JSE:BYI;BYI;BYI.JO
JSE:CAA;"""CA Sales Holdings Limited (JSE:CAA)""";https://www.listcorp.com/jse/caa/ca-sales-holdings-limited;"""	8445390000""";17,6;0,05;0,28;Industrials;"(JSE:CAA)""";(JSE:CAA;JSE:CAA;CAA;CAA.JO
JSE:CAC;"""CAFCA Limited (JSE:CAC)""";https://www.listcorp.com/jse/cac/cafca-limited;"""	126210000""";3,78;0;0;Industrials;"(JSE:CAC)""";(JSE:CAC;JSE:CAC;CAC;CAC.JO
JSE:CGR;"""Calgro M3 Holdings Limited (JSE:CGR)""";https://www.listcorp.com/jse/cgr/calgro-m3;"""	585634000""";5,1;-0,02;-0,39;Industrials;"(JSE:CGR)""";(JSE:CGR;JSE:CGR;CGR;CGR.JO
JSE:CCO;"""Capital & Counties Properties plc (JSE:CCO)""";https://www.listcorp.com/jse/cco/capital-and-counties-properties-plc;"""	23617600000""";28,85;1,1;3,96;Financials;"(JSE:CCO)""";(JSE:CCO;JSE:CCO;CCO;CCO.JO
JSE:CTA;"""Capital Appreciation Limited (JSE:CTA)""";https://www.listcorp.com/jse/cta/capital-appreciation-limited;"""	2187700000""";1,66;-0,01;-0,6;Technology;"(JSE:CTA)""";(JSE:CTA;JSE:CTA;CTA;CTA.JO
JSE:CPI;"""Capitec Bank Holdings Limited (JSE:CPI)""";https://www.listcorp.com/jse/cpi/capitec-bank-holdings-limited;"""	400661000000""";3480,03;28,99;0,84;Financials;"(JSE:CPI)""";(JSE:CPI;JSE:CPI;CPI;CPI.JO
JSE:CSB;"""Cashbuild Limited (JSE:CSB)""";https://www.listcorp.com/jse/csb/cashbuild-limited;"""	3428150000""";144,95;0,27;0,19;"""Consumer Services""";"(JSE:CSB)""";(JSE:CSB;JSE:CSB;CSB;CSB.JO
JSE:CVW;"""Castleview Property Fund Limited (JSE:CVW)""";https://www.listcorp.com/jse/cvw/castleview-property-fund-limited;"""	8072170000""";8,2;0;0;Financials;"(JSE:CVW)""";(JSE:CVW;JSE:CVW;CVW;CVW.JO
JSE:CAT;"""Caxton & CTP Publishers & Printers Limited (JSE:CAT)""";https://www.listcorp.com/jse/cat/caxton-and-ctp-publishers-and-printers-limited;"""	4239040000""";11,93;0;0;"""Consumer Services""";"(JSE:CAT)""";(JSE:CAT;JSE:CAT;CAT;CAT.JO
JSE:CHP;"""Choppies Enterprises Limited (JSE:CHP)""";https://www.listcorp.com/jse/chp/choppies-enterprises-limited;"""	2098130000""";1,2;0,05;4,35;"""Consumer Services""";"(JSE:CHP)""";(JSE:CHP;JSE:CHP;CHP;CHP.JO
JSE:CMO;"""Chrometco Limited (JSE:CMO)""";https://www.listcorp.com/jse/cmo/chrometco-limited;"""	0""";0,06;0;0;"""Basic Materials""";"(JSE:CMO)""";(JSE:CMO;JSE:CMO;CMO;CMO.JO
JSE:CLH;"""City Lodge Hotels Limited (JSE:CLH)""";https://www.listcorp.com/jse/clh/city-lodge-hotels-limited;"""	2303020000""";3,95;0,05;1,28;"""Consumer Services""";"(JSE:CLH)""";(JSE:CLH;JSE:CLH;CLH;CLH.JO
JSE:CLS;"""Clicks Group Limited (JSE:CLS)""";https://www.listcorp.com/jse/cls/clicks-group-limited;"""	84888100000""";359,09;0,82;0,23;"""Consumer Services""";"(JSE:CLS)""";(JSE:CLS;JSE:CLS;CLS;CLS.JO
