,Ticker,Name,Währung,Börse,Sektor,Branche
220,CHA,Chagee Holdings Limited,USD,NMS,Consumer Cyclical,Restaurants
221,CHD,"Church & Dwight Co., Inc.",USD,NYQ,Consumer Defensive,Household & Personal Products
222,CHIR,Global X MSCI China Real Estate ETF,USD,PCX,N/A,N/A
223,CHK,N/A,N/A,N/A,N/A,N/A
224,CHRS,"Coherus Oncology, Inc.",USD,NGM,Healthcare,Biotechnology
225,CHRW,"C.H. Robinson Worldwide, Inc.",USD,NMS,Industrials,Integrated Freight & Logistics
226,CHTR,"Charter Communications, Inc.",USD,NMS,Communication Services,Telecom Services
227,CI,The Cigna Group,USD,NYQ,Healthcare,Healthcare Plans
228,CIEN,Ciena Corporation,USD,NYQ,Technology,Communication Equipment
229,CIN,N/A,N/A,YHD,N/A,N/A
230,CINF,Cincinnati Financial Corporation,USD,NMS,Financial Services,Insurance - Property & Casualty
231,CIT.A,N/A,N/A,N/A,N/A,N/A
232,CITGQ,N/A,N/A,N/A,N/A,N/A
233,CL,Colgate-Palmolive Company,USD,NYQ,Consumer Defensive,Household & Personal Products
234,CLF,Cleveland-Cliffs Inc.,USD,NYQ,Basic Materials,Steel
235,CLX,The Clorox Company,USD,NYQ,Consumer Defensive,Household & Personal Products
236,CMA,Comerica Incorporated,USD,NYQ,Financial Services,Banks - Regional
237,CMB,N/A,N/A,YHD,N/A,N/A
238,CMCSA,Comcast Corporation,USD,NMS,Communication Services,Telecom Services
239,CMCSK,N/A,N/A,YHD,N/A,N/A
240,CME,CME Group Inc.,USD,NMS,Financial Services,Financial Data & Stock Exchanges
241,CMG,"Chipotle Mexican Grill, Inc.",USD,NYQ,Consumer Cyclical,Restaurants
242,CMI,Cummins Inc.,USD,NYQ,Industrials,Specialty Industrial Machinery
243,CMS,CMS Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
244,CMVT,N/A,N/A,YHD,N/A,N/A
245,CMX,N/A,N/A,YHD,N/A,N/A
246,CNC,Centene Corporation,USD,NYQ,Healthcare,Healthcare Plans
247,CNG,N/A,N/A,YHD,N/A,N/A
248,CNP,"CenterPoint Energy, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
249,CNW,N/A,N/A,YHD,N/A,N/A
250,CNX,CNX Resources Corporation,USD,NYQ,Energy,Oil & Gas E&P
251,CNXT,VanEck ChiNext ETF,USD,PCX,N/A,N/A
252,COC.B,N/A,N/A,YHD,N/A,N/A
253,COF,Capital One Financial Corporation,USD,NYQ,Financial Services,Credit Services
254,COG,N/A,N/A,N/A,N/A,N/A
255,COL,"Rockwell Collins, Inc.",N/A,YHD,N/A,N/A
256,COMS,COMSovereign Holding Corp.,USD,OEM,Technology,Communication Equipment
257,COO,"The Cooper Companies, Inc.",USD,NMS,Healthcare,Medical Instruments & Supplies
258,COP,ConocoPhillips,USD,NYQ,Energy,Oil & Gas E&P
259,COR,"Cencora, Inc.",USD,NYQ,Healthcare,Medical Distribution
260,COST,Costco Wholesale Corporation,USD,NMS,Consumer Defensive,Discount Stores
