;Ticker;Name;Währung;Börse;Sektor;Branche
250;TRE.JO;Trencor Limited;ZAc;JNB;Financial Services;Shell Companies
251;TTO.JO;Trustco Group Holdings Limited;ZAc;JNB;Financial Services;Asset Management
252;TRU.JO;Truworths International Limited;ZAc;JNB;Consumer Cyclical;Apparel Retail
253;TSG.JO;Tsogo Sun Limited;ZAc;JNB;Consumer Cyclical;Resorts & Casinos
254;UPL.JO;Universal Partners Limited;ZAc;JNB;Financial Services;Asset Management
255;VAL.JO;Valterra Platinum Limited;ZAc;JNB;Basic Materials;Other Precious Metals & Mining
256;VIS.JO;Visual International Holdings Limited;ZAc;JNB;Real Estate;Real Estate Services
257;VOD.JO;Vodacom Group Limited;ZAc;JNB;Communication Services;Telecom Services
258;VKE.JO;Vukile Property Fund Limited;ZAc;JNB;Real Estate;REIT - Retail
259;VUN.JO;Vunani Limited;ZAc;JNB;Financial Services;Capital Markets
260;WBC.JO;N/A;ZAc;JNB;Consumer Cyclical;Auto & Truck Dealerships
261;WSL.JO;N/A;N/A;N/A;N/A;N/A
262;WEZ.JO;Wesizwe Platinum Limited;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
263;WBO.JO;Wilson Bayly Holmes-Ovcon Limited;ZAc;JNB;Industrials;Engineering & Construction
264;WHL.JO;Woolworths Holdings Limited;ZAc;JNB;Consumer Cyclical;Department Stores
265;YYLBEE.JO;YeboYethu (RF) Limited;ZAc;JNB;Communication Services;Telecom Services
266;YRK.JO;York Timber Holdings Limited;ZAc;JNB;Basic Materials;Lumber & Wood Production
267;ZZD.JO;Zeda Limited;ZAc;JNB;Industrials;Rental & Leasing Services
268;ZED.JO;Zeder Investments Ltd.;ZAc;JNB;Financial Services;Asset Management
269;ADI.JO;N/A;N/A;N/A;N/A;N/A
270;AVL.JO;N/A;N/A;N/A;N/A;N/A
271;ATI.JO;N/A;N/A;N/A;N/A;N/A
272;AGI.JO;N/A;N/A;N/A;N/A;N/A
273;ALH.JO;N/A;N/A;N/A;N/A;N/A
274;ANANP.JO;N/A;N/A;N/A;N/A;N/A
275;ARH.JO;N/A;N/A;N/A;N/A;N/A
276;AWA.JO;N/A;N/A;N/A;N/A;N/A
277;BSR.JO;Basil Read Holdings Limited;N/A;YHD;N/A;N/A
278;BAU.JO;N/A;N/A;N/A;N/A;N/A
279;BUC.JO;N/A;N/A;N/A;N/A;N/A
280;CPF.JO;N/A;N/A;N/A;N/A;N/A
281;CRG.JO;Cargo Carriers Limited;N/A;YHD;N/A;N/A
282;CDZ.JO;N/A;N/A;N/A;N/A;N/A
283;CRM.JO;N/A;N/A;N/A;N/A;N/A
284;CLR.JO;N/A;N/A;N/A;N/A;N/A
285;CMA.JO;N/A;N/A;N/A;N/A;N/A
286;CCL.JO;N/A;N/A;N/A;N/A;N/A
287;CNX.JO;N/A;N/A;N/A;N/A;N/A
288;CCR.JO;N/A;N/A;N/A;N/A;N/A
289;CNS.JO;N/A;N/A;N/A;N/A;N/A
290;CNL.JO;N/A;N/A;N/A;N/A;N/A
291;CVS.JO;N/A;N/A;N/A;N/A;N/A
292;CUL.JO;N/A;N/A;YHD;N/A;N/A
293;DST.JO;N/A;N/A;YHD;N/A;N/A
294;EPP.JO;N/A;N/A;N/A;N/A;N/A
295;ERN.JO;N/A;N/A;N/A;N/A;N/A
296;ETO.JO;N/A;N/A;N/A;N/A;N/A
297;FTB.JO;Fairvest Limited;ZAc;JNB;Real Estate;REIT - Retail
298;FTA.JO;Fairvest Limited;ZAc;JNB;Real Estate;REIT - Retail
299;FSE.JO;N/A;N/A;N/A;N/A;N/A
300;FDP.JO;N/A;N/A;N/A;N/A;N/A
301;GNDP.JO;Grindrod Limited;ZAc;JNB;Industrials;Integrated Freight & Logistics
302;HAL.JO;N/A;N/A;N/A;N/A;N/A
303;HVL.JO;N/A;N/A;N/A;N/A;N/A
304;HPA.JO;N/A;N/A;N/A;N/A;N/A
305;BSB.JO;N/A;N/A;N/A;N/A;N/A
306;HWN.JO;N/A;N/A;N/A;N/A;N/A
307;HWHWA.JO;N/A;N/A;N/A;N/A;N/A
308;IDN.JO;N/A;N/A;N/A;N/A;N/A
309;IFH.JO;N/A;N/A;N/A;N/A;N/A
310;IFR.JO;N/A;N/A;N/A;N/A;N/A
311;ILA.JO;N/A;N/A;N/A;N/A;N/A
312;ILV.JO;N/A;N/A;N/A;N/A;N/A
313;IPL.JO;N/A;N/A;N/A;N/A;N/A
314;IMU.JO;N/A;N/A;N/A;N/A;N/A
315;IDQ.JO;N/A;N/A;N/A;N/A;N/A
316;IFW.JO;N/A;N/A;N/A;N/A;N/A
317;IPS.JO;N/A;N/A;N/A;N/A;N/A
318;JSC.JO;N/A;N/A;N/A;N/A;N/A
319;L2D.JO;N/A;N/A;N/A;N/A;N/A
320;LBH.JO;N/A;N/A;N/A;N/A;N/A
321;LNF.JO;London Finance & Investment Group P.L.C.;ZAc;JNB;Financial Services;Asset Management
322;L4L.JO;N/A;N/A;N/A;N/A;N/A
323;LUX.JO;N/A;N/A;N/A;N/A;N/A
324;MCU.JO;N/A;N/A;N/A;N/A;N/A
325;MDN.JO;N/A;N/A;N/A;N/A;N/A
326;MKL.JO;N/A;N/A;N/A;N/A;N/A
327;MAS.JO;N/A;N/A;N/A;N/A;N/A
328;MSM.JO;N/A;N/A;N/A;N/A;N/A
329;MTZ.JO;N/A;N/A;N/A;N/A;N/A
330;MDC.JO;N/A;N/A;N/A;N/A;N/A
331;MTL.JO;N/A;N/A;N/A;N/A;N/A
332;MML.JO;N/A;N/A;N/A;N/A;N/A
333;MTX.JO;N/A;N/A;N/A;N/A;N/A
334;MMG.JO;MICROmega Holdings Limited;N/A;YHD;N/A;N/A
335;MMH.JO;N/A;N/A;N/A;N/A;N/A
336;MLA.JO;N/A;N/A;N/A;N/A;N/A
337;MMI.JO;N/A;N/A;N/A;N/A;N/A
338;MOB.JO;N/A;N/A;N/A;N/A;N/A
339;MNY.JO;N/A;N/A;N/A;N/A;N/A
340;MTE.JO;N/A;N/A;N/A;N/A;N/A
341;MVG.JO;N/A;N/A;N/A;N/A;N/A
342;MVR.JO;N/A;N/A;N/A;N/A;N/A
343;MVS.JO;N/A;N/A;N/A;N/A;N/A
344;NBKP.JO;N/A;N/A;N/A;N/A;N/A
345;NAI.JO;N/A;N/A;N/A;N/A;N/A
346;NCA.JO;N/A;N/A;N/A;N/A;N/A
347;OLG.JO;N/A;N/A;N/A;N/A;N/A
348;PEM.JO;Pembury Lifestyle Group Limited;ZAR;JNB;N/A;N/A
349;PFB.JO;N/A;N/A;N/A;N/A;N/A
350;PSG.JO;N/A;N/A;N/A;N/A;N/A
351;RACP.JO;N/A;N/A;N/A;N/A;N/A
352;RAH.JO;N/A;N/A;N/A;N/A;N/A
353;RSG.JO;N/A;N/A;N/A;N/A;N/A
354;RBP.JO;N/A;N/A;N/A;N/A;N/A
355;SBL.JO;N/A;N/A;N/A;N/A;N/A
356;SAB.JO;N/A;N/A;N/A;N/A;N/A
357;SAL.JO;N/A;N/A;N/A;N/A;N/A
358;SFN.JO;N/A;N/A;N/A;N/A;N/A
359;SER.JO;N/A;N/A;N/A;N/A;N/A
360;SDH.JO;N/A;N/A;N/A;N/A;N/A
361;SKJ.JO;N/A;N/A;N/A;N/A;N/A
362;SNU.JO;N/A;N/A;N/A;N/A;N/A
363;STO.JO;N/A;N/A;N/A;N/A;N/A
364;SBG.JO;N/A;N/A;N/A;N/A;N/A
365;SIM.JO;N/A;N/A;N/A;N/A;N/A
366;SYA.JO;N/A;N/A;N/A;N/A;N/A
367;SLO.JO;N/A;N/A;N/A;N/A;N/A
368;SOV.JO;N/A;N/A;YHD;N/A;N/A
369;SPA.JO;N/A;N/A;N/A;N/A;N/A
370;SPS.JO;N/A;N/A;N/A;N/A;N/A
371;SQE.JO;N/A;N/A;N/A;N/A;N/A
372;SHF.JO;N/A;N/A;N/A;N/A;N/A
373;SHFF.JO;N/A;N/A;N/A;N/A;N/A
374;SLL.JO;N/A;N/A;N/A;N/A;N/A
375;STA.JO;N/A;N/A;N/A;N/A;N/A
376;SYC.JO;N/A;N/A;N/A;N/A;N/A
377;TAW.JO;N/A;N/A;N/A;N/A;N/A
378;TBX.JO;N/A;N/A;N/A;N/A;N/A
379;VLE.JO;N/A;N/A;N/A;N/A;N/A
380;WEA.JO;WG Wearne Limited;N/A;YHD;N/A;N/A
381;WKF.JO;N/A;N/A;N/A;N/A;N/A
382;ZCL.JO;N/A;N/A;N/A;N/A;N/A
383;IOC.JO;iOCO Limited;ZAc;JNB;Technology;Information Technology Services
