,Ticker,Name,Währung,Börse,Sektor,Branche
271,COST,Costco Wholesale Corporation,USD,NMS,Consumer Defensive,Discount Stores
272,COTY,Coty Inc.,USD,NYQ,Consumer Defensive,Household & Personal Products
273,COV,N/A,N/A,YHD,N/A,N/A
274,COV,N/A,N/A,YHD,N/A,N/A
275,COV,N/A,N/A,YHD,N/A,N/A
276,CPAY,"Corpay, Inc.",USD,NYQ,Technology,Software - Infrastructure
277,CPB,The Campbell's Company,USD,NMS,Consumer Defensive,Packaged Foods
278,CPGX,N/A,N/A,YHD,N/A,N/A
279,CPNLQ,N/A,N/A,N/A,N/A,N/A
280,CPQ,N/A,N/A,YHD,N/A,N/A
281,CPRI,Capri Holdings Limited,USD,NYQ,Consumer Cyclical,Luxury Goods
282,CPRT,"Copart, Inc.",USD,NMS,Industrials,Specialty Business Services
283,CPT,Camden Property Trust,USD,NYQ,Real Estate,REIT - Residential
284,CPWR,Ocean Thermal Energy Corporation,USD,OEM,Utilities,Utilities - Renewable
285,CR,Crane Company,USD,NYQ,Industrials,Specialty Industrial Machinery
286,CRL,"Charles River Laboratories International, Inc.",USD,NYQ,Healthcare,Diagnostics & Research
287,CRM,"Salesforce, Inc.",USD,NYQ,Technology,Software - Application
288,CRR,N/A,N/A,N/A,N/A,N/A
289,CRWD,"CrowdStrike Holdings, Inc.",USD,NMS,Technology,Software - Infrastructure
290,CSCO,"Cisco Systems, Inc.",USD,NMS,Technology,Communication Equipment
291,CSE,N/A,N/A,YHD,N/A,N/A
292,CSGP,"CoStar Group, Inc.",USD,NMS,Real Estate,Real Estate Services
293,CSR,Centerspace,USD,NYQ,Real Estate,REIT - Residential
294,CSRA,N/A,N/A,YHD,N/A,N/A
295,CSX,CSX Corporation,USD,NMS,Industrials,Railroads
296,CTAS,Cintas Corporation,USD,NMS,Industrials,Specialty Business Services
297,CTB,N/A,N/A,N/A,N/A,N/A
298,CTL,N/A,N/A,N/A,N/A,N/A
299,CTLT,N/A,N/A,N/A,N/A,N/A
300,CTRA,Coterra Energy Inc.,USD,NYQ,Energy,Oil & Gas E&P
301,CTSH,Cognizant Technology Solutions Corporation,USD,NMS,Technology,Information Technology Services
302,CTVA,"Corteva, Inc.",USD,NYQ,Basic Materials,Agricultural Inputs
303,CTX,N/A,N/A,YHD,N/A,N/A
304,CTXS,N/A,N/A,N/A,N/A,N/A
305,CVC,N/A,N/A,YHD,N/A,N/A
306,CVG,Convergys Corporation,N/A,YHD,N/A,N/A
307,CVH,N/A,N/A,YHD,N/A,N/A
308,CVS,CVS Health Corporation,USD,NYQ,Healthcare,Healthcare Plans
309,CVX,Chevron Corporation,USD,NYQ,Energy,Oil & Gas Integrated
310,CXO,N/A,N/A,N/A,N/A,N/A
311,CYM,N/A,N/A,YHD,N/A,N/A
312,CYR,N/A,N/A,YHD,N/A,N/A
313,CZR,"Caesars Entertainment, Inc.",USD,NMS,Consumer Cyclical,Resorts & Casinos
314,D,"Dominion Energy, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
315,DAL,"Delta Air Lines, Inc.",USD,NYQ,Industrials,Airlines
316,DALRQ,N/A,N/A,N/A,N/A,N/A
317,DAY,Dayforce Inc,USD,NYQ,Technology,Software - Application
318,DCNAQ,N/A,N/A,N/A,N/A,N/A
319,DD,"DuPont de Nemours, Inc.",USD,NYQ,Basic Materials,Specialty Chemicals
320,DD,"DuPont de Nemours, Inc.",USD,NYQ,Basic Materials,Specialty Chemicals
321,DDR,DDR Corp.,N/A,YHD,N/A,N/A
